[2026-02-24 18:36:59] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:37:03] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:37:12] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:37:15] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:37:18] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:37:24] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:37:26] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:37:30] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:37:33] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:37:36] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:37:40] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:37:42] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:37:45] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:37:48] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:37:51] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:37:54] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:37:57] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:38:00] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:38:03] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:38:06] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:38:10] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:38:12] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:38:15] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:38:19] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:38:22] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:38:25] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:38:28] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:38:32] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:38:34] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:38:37] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:38:40] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:38:43] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:38:46] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:38:49] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:38:52] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:38:55] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:38:58] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:39:02] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:39:05] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:39:08] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:39:11] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:39:14] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:39:17] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:39:20] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:39:23] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:39:26] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:39:29] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:39:32] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:39:35] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:39:39] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:39:41] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:39:45] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:39:49] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:39:51] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:39:54] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:39:57] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:40:00] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:40:03] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:40:06] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:40:12] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:40:15] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:40:18] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:40:21] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:40:24] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:40:28] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:40:30] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:40:33] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:40:36] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:40:40] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:40:43] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:40:46] IoT Trigger: ID=1, Status=SAFE, Level=0
